5,1,702.1,585.88
5,1,781.62,607.94
4,2,697.78,635.56
4,2,617.7,586.7
4,2,692.84,561.94
3,3,726.9,729.94
3,3,696.46,597.3
2,4,611.84,687.9
2,4,615.2,718.7
2,4,485.38,688.48
1,5,555.12,712.3
1,5,573.54,643.84
6,0,690.3,525.44
4,2,643.36,563.2
4,2,627.6,527.76
4,2,688.04,610.94
3,3,653.86,604.74
3,3,620,616.28
2,4,485.52,547.96
2,4,508.34,618.06
1,5,537.02,711.2
1,5,511.22,639.18
6,0,928.5,786
5,1,877.5,686.5
3,3,811,831
3,3,779,826
3,3,854,757.5
2,4,856.5,882
2,4,788,811
2,4,797,879.5
2,4,797,815
2,4,766.5,880.5
5,1,615.74,514.94
5,1,731.62,583.06
5,1,603.02,528.54
4,2,681.12,563.82
4,2,590.42,530.36
3,3,510.38,587.7
3,3,593.26,598.98
2,4,577.94,584.64
2,4,557.94,594.5
2,4,508.1,658.06
1,5,413.66,543.18
0,6,506.58,602
5,1,669,470
5,1,559,561
4,2,620,532
4,2,510,592
4,2,639,489
3,3,557,550
2,4,522,600
1,5,535,579
1,5,462,637
1,5,588,651
7,7,1292.48,1332.08
6,8,1437.28,1403
11,3,1496.82,1260.4
9,5,1642.6,1489.78
7,7,1314.28,1269.4
9,5,1633.4,1474.72
6,8,1313.76,1345.16
6,8,1336.48,1416.76
3,11,1251.66,1552.28
6,8,1288.62,1463.8
7,6,1151.62,1179.46
9,4,1239.1,1138.84
9,4,1342.22,1144.02
11,2,1347.3,1008.88
9,4,1244.14,1173.7
7,6,1195.96,1091.14
4,9,1076.8,1184.98
6,7,1015.34,1093.68
5,8,1189.8,1306.38
6,7,1052.68,1133.82
4,9,1192.72,1255.06
1,12,887.64,1223.36
11,3,1777.7,1422.94
10,4,1509.3,1395.62
10,4,1368.36,1243.66
8,6,1462.5,1447.78
7,7,1477.38,1438.54
7,7,1417.1,1524.44
5,9,1455.1,1571.24
6,8,1265.52,1246.04
4,10,1332.96,1438.44
4,10,1343.96,1603.72
10,3,1906,1441
9,4,1950,1726
7,6,1739.5,1681
7.5,5.5,1725,1727
8,5,1714,1541.5
7,6,1743,1753.5
6.5,6.5,1431,1606.5
4,9,1431,1723.5
3,10,1531,1726.5
3,10,1439,1683.5
12,1,1969.5,1529
8,5,1888,1693
8.5,4.5,1730,1608
6,7,1618,1830.5
6,7,1653,1711
5.5,7.5,1630,1638
5.5,7.5,1487,1520
5,8,1553,1707
4.5,8.5,1559,1688
4,9,1614,1777
13,4,1825.58,1537.76
12,5,2059.98,1644.66
10,7,1769.52,1679.84
10,7,1690.98,1687.9
10,7,1548,1596.54
8,9,1685.18,1810.58
7,10,1713.92,1701.3
6,11,1649.98,1692.2
5,12,1433.02,1722.52
4,13,1525.26,1828.12
8,5,1339.22,1151.3
7,6,1232.46,1257.52
9,4,1301,1199.22
7,6,1358.64,1357.26
6,7,1357.24,1228.18
7,6,1093.62,1127.06
7,6,1168.5,1117.14
7,6,1232.18,1221.5
6,7,1002.88,1104.02
5,8,1148.06,1233.9
3,10,1121.58,1323.66
6,7,1620.5,1662
6,7,1537,1508
7,6,1569,1563
9,4,1638.5,1598.5
6,7,1662.5,1690
6,7,1651.5,1642
10,3,1978,1572
11,2,1905.5,1534
5,8,1537,1576
5,8,1405.5,1594
4,9,1396,1629
3,10,1322,1654.5
9,5,1472.02,1279.82
7,7,1352.88,1378.22
10,4,1411.2,1195.22
11,3,1388.02,1179.04
6,8,1377.8,1470.26
6,8,1280.84,1370.66
6,8,1184.12,1281.64
6,8,1257.8,1250.54
5,9,1211.58,1445.14
4,10,1220.7,1306.42
13,1,1942,1511
7,7,1495,1580.5
7,7,1412,1641
8,6,1630,1460
11,3,1927,1687
6.5,7.5,1691,1575
12,2,1771.5,1456
7,7,1870,1567.5
6.5,7.5,1609.5,1586
4,10,1462.5,1677.5
1,13,1183,1773.5
1,13,1152.5,1631
9,5,1473,1380
9,5,1623.5,1445.5
5.5,8.5,1554,1561
6.5,7.5,1422.5,1411
11,3,1681.5,1439.5
8,6,1483,1526
8,6,1549.5,1442
10,4,1614,1461
5.5,8.5,1404,1526
5.5,8.5,1400,1514
4,10,1275,1507
2,12,1276,1543
7,7,1872,1982
7,7,1874.5,1950.5
5,9,1979.5,1983
10.5,3.5,2084,1968.5
3,11,1903,2048
9,5,2125.5,2007
7,7,1989,1838.5
7.5,6.5,1979,2029
9,4,1193,1138
6.5,6.5,1227,1191
4.5,8.5,1126,1108
4,9,1063,1219
10,3,1278,1054
8.5,4.5,1258,1158
6.5,6.5,1209,1222
3,10,958,1222
11.5,3.5,1575,1267
11,4,1580,1445
11,4,1536,1279
9,6,1253,1439
6,9,1399,1458
7,8,1374,1326
5,10,1281,1353
7,8,1365,1292
1.5,13.5,1080,1448
6,9,1300,1436
9,5,1503.82,1409.12
10,4,1597.44,1448.7
7,7,1574.48,1482.08
5,9,1407.22,1624.42
7,7,1551.36,1489.06
5,9,1343.64,1419.84
10,4,1777.66,1303.16
11,3,1356.52,1193.16
7,7,1566.76,1458.08
4,10,1298.36,1425.14
7,7,1455.14,1434.44
2,12,798.78,1533.98
6,7,1753,1603
8,5,1796.5,1787
12,1,1926.5,1519.5
6,7,1722,1758
8,5,1705,1595
7.5,5.5,1717.5,1652
5,8,1793,1840
5.5,7.5,1624.5,1819
5,8,1467,1665
2,11,1513,1779
10,4,1533.98,1245.94
7,7,1539.1,1456.98
8,6,1534.6,1388.92
12,2,1532.98,1275.18
9,5,1455.78,1279.2
9,5,1506.98,1293.98
3,11,1037.08,1398.82
5,9,1289.4,1473.62
4,10,1203.78,1393.46
3,11,1026.68,1454.06
11,2,1464.96,1197.14
9,4,1376.52,1228.44
8,5,1321.74,1238.5
8,5,1242.48,1166.98
7,6,1225.46,1187.7
8,5,1186.86,1170.98
5,8,1169.4,1307
6,7,1092.52,1175.66
4,9,1170.98,1225.06
3,10,993.82,1179.6
4,9,1122.3,1295.32
5,8,1127.8,1122.46
8,5,1279.18,1271.62
3,10,1249.32,1347.38
5,8,1329.48,1462.78
11,2,1526.52,1301.6
7,6,1387.62,1310.04
8,5,1384.18,1247.64
5,8,1291.96,1355.42
8,5,1528.52,1273.86
6,7,1254.06,1343.5
5,8,1165.86,1377.08
9,4,1278.88,1207.76
3,10,1224.2,1401.1
12,2,1307,1052
8,6,1302,1135
14,0,1475,972
7,7,1114,1116
4,10,1214,1227
6,8,1196,1258
4,10,956,1211
6,8,1144,1205
5,9,1100,1359
2,12,839,1157
7,7,1122,1142
9,5,1218,1153