Righteous In Wrath,Tom's Shady Weinerz,Fournette-cate,Big Ol' TDs,Equipmunk Managers,Fhqwhgads,Butts!,Lick My Quintorris,Menstrual Krampus,Stranger in the Alps,Mother of Dragons,Wit and Creativity
81.24,152.58,96.84,100.6,64.94,98.54,129.54,100.94,111.32,75,118.42,80.42
106.22,146.58,111.96,122.66,131.22,110.3,68.1,135.54,130.02,97.7,70.12,103.52
102.52,140.92,105.62,96,120.88,70.42,111.9,112.9,144.22,102.3,130.32,106.8
115.46,117.58,87.78,115.1,127.08,86.78,100.34,116.12,151.1,88.16,121.08,120.44
65.74,80.32,143.66,150.66,115.8,105.14,126.8,105.52,95.22,95.54,104.44,66.98
88.82,83.28,111.18,132.5,142.56,113.7,98.94,163.24,90.46,85.74,70.1,88.88
74.82,94.26,131.76,97.62,117.34,94.58,102.12,134.44,127.3,85.12,131.66,54.86
89.16,112.44,82,140.82,109.06,176.78,68.2,123.46,107.28,81.9,93.62,37.38
148.12,90.06,115.38,100.02,72.98,109.2,59.52,130.72,106.58,101,103.36,30.5
146.1,135.64,89.4,138.58,112.26,79.06,68.26,119.46,105.02,126.64,101.24,61.04
102.5,118.66,131.1,103,121,100.26,77.94,148.6,159.42,116.22,41.4,84.36